"REFFABRICANTE";"TITULO";"CODIGOINTERNO";"EAN/UPC";"CODFAMILIA";"TITULOFAMILIA";"CODSUBFAMILIA";"TITULOSUBFAMILIA";"CODFABRICANTE";"NOMFABRICANTE";PRECIO;"STOCK";PESO;"PROXIMA_LLEGADA";"CICLOVIDA";"PLAZOENTREGA"
"XONE100168";"X-One Funda Universal Saco Iman 4.5"" Morado";"AATFYC0746";"8435484100168";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,03;0;0,1000000000;"";"Proximamente";"0,0000000000"
"XONE101929";"X-One Carcasa X-Line iPhone 5C Rojo";"AATFYC0747";"8435484101929";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,03;8;0,1000000000;"";"Novedad";"0,0000000000"
"XONE102261";"X-One Funda de Piel Book iPhone 5 / SE Negro";"AATFYC0748";"8435484102261";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,80;20;0,1000000000;"";"Novedad";"0,0000000000"
"XONE102797";"X-One Funda de Piel Motorola Moto G Negro";"AATFYC0749";"8435484102797";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,39;24;0,1000000000;"";"Novedad";"0,0000000000"
"XONE104265";"X-One Funda de Piel Qmax Samsung S5 Negro";"AATFYC0750";"8435484104265";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";2,39;10;0,1000000000;"";"Novedad";"0,0000000000"
"XONE104326";"X-One Funda de Piel Book Samsung S5 Negro";"AATFYC0751";"8435484104326";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,80;10;0,1000000000;"";"Novedad";"0,0000000000"
"XONE104685";"X-One Funda de Piel Drawing Collection Universal 9";"AATFYC0752";"8435484104685";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";6,76;10;0,1000000000;"";"Novedad";"0,0000000000"
"XONE105583";"X-One TPU X-Line Samsung Grand Neo Rosa";"AATFYC0753";"8435484105583";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";1,08;8;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106122";"X-One Brazalete Running Talla M Morado";"AATFYC0754";"8435484106122";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,01;11;0,1000000000;"";"Novedad";"0,0000000000"
"XONE106146";"X-One Brazalete Running Talla L Blanco";"AATFYC0755";"8435484106146";"AT";"Accesorios Telefonía";"FYC";"Fundas y Carcasas";"60173";"X-ONE";3,01;12;0,1000000000;"";"Novedad";"0,0000000000"
